NOMOR PARTAI,NAMA PARTAI,NOMOR URUT,NAMA CALEG,JENIS KELAMIN,PEROLEHAN SUARA,COUNTRY CODE,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated,PROVINSI,DAERAH PEMILIHAN
6,Partai Persatuan Demokrasi Kebangsaan,4,"THANTAWI A. GANI, SH",,594,ID,namsor_api_2.0.24,LATIN,fe2ffdcd-f61f-4d81-ae3e-2c4d2cf2b174,"THANTAWI A. GANI, SH",male,-0.74232556,9.457360555,0.87116278,,
6,Partai Persatuan Demokrasi Kebangsaan,5,DRA. Hj. SITI YULIDARWATI,,564,ID,namsor_api_2.0.24,LATIN,796656d8-b579-4507-8554-b63959b1d681,DRA. Hj. SITI YULIDARWATI,female,0.990770472,23.04833459,0.995385236,,
7,Partai Perhimpunan Indonesia Baru,1,ISMA SAWITRI,,2105,ID,namsor_api_2.0.24,LATIN,0fafd6f7-39c9-4c0e-bb91-3eb941f1dd26,ISMA SAWITRI,female,0.383310056,5.792760505,0.691655028,,
7,Partai Perhimpunan Indonesia Baru,2,Drs. AMIR HUSEIN RAMLI,,1126,ID,namsor_api_2.0.24,LATIN,a935c0f3-9061-4dfc-94f0-8356d1fe2c06,Drs. AMIR HUSEIN RAMLI,male,-0.991092885,23.46702208,0.995546443,,
8,Partai Nasional Banteng Kemerdekaan,1,"DR. IR RUSYDI SYAHABUDDIN, MBA",,2025,ID,namsor_api_2.0.24,LATIN,0e62ca1f-b5de-4321-92b8-a4de5a7958b2,"DR. IR RUSYDI SYAHABUDDIN, MBA",male,-0.983795963,19.64617844,0.991897982,,
8,Partai Nasional Banteng Kemerdekaan,2,"MUKHTAR, AK. SE.",,1281,ID,namsor_api_2.0.24,LATIN,bb11d400-e9b9-4193-9633-96c910ee587b,"MUKHTAR, AK. SE.",male,-0.974372611,17.13010118,0.987186306,,
9,Partai Demokrat,1,"PROF. DR. RUSLI RAMLI, MS",,10958,ID,namsor_api_2.0.24,LATIN,7996b9c4-d19e-4188-a241-5ec70b4e6fdd,"PROF. DR. RUSLI RAMLI, MS",male,-0.742625257,9.467847972,0.871312628,,
9,Partai Demokrat,2,TEUKU RIEFKY HARSYA,,8087,ID,namsor_api_2.0.24,LATIN,1729055d-dff9-4950-a66b-f85c7002da2a,TEUKU RIEFKY HARSYA,male,-0.975788701,17.42219123,0.98789435,,
9,Partai Demokrat,3,Ir. KASAI MUHAMMAD ALl,,3201,ID,namsor_api_2.0.24,LATIN,701568d4-7b1e-4a86-8fc6-7d78e48cbf15,Ir. KASAI MUHAMMAD ALl,male,-0.814471674,10.47310121,0.907235837,,
9,Partai Demokrat,4,SYUKUR MUNADI,,1539,ID,namsor_api_2.0.24,LATIN,956e6267-e952-40e3-8f33-7067b4717183,SYUKUR MUNADI,male,-0.75158266,9.846318269,0.87579133,,
9,Partai Demokrat,5,"DR. BENGET SIAHAAN, SH, MM",,888,ID,namsor_api_2.0.24,LATIN,8d072b08-955e-423d-ab06-6b56464bf0f9,"DR. BENGET SIAHAAN, SH, MM",male,-0.973739138,17.02276308,0.986869569,,
9,Partai Demokrat,6,IR. AGUS SALIM,,1259,ID,namsor_api_2.0.24,LATIN,bc612e33-c4b7-44d5-a4fa-62f1e284fac8,IR. AGUS SALIM,male,-0.959191134,15.02879233,0.979595567,,
10,Partai Keadilan dan Persatuan Indonesia,1,IR. MUHAMMAD NASIR NAWAWI,,6136,ID,namsor_api_2.0.24,LATIN,3981670d-202c-49b8-a62d-36bc9d09bf6b,IR. MUHAMMAD NASIR NAWAWI,male,-0.956818461,14.82768624,0.97840923,,
10,Partai Keadilan dan Persatuan Indonesia,2,ACHMAD ZAEDI,,2663,ID,namsor_api_2.0.24,LATIN,01000454-4860-4908-a278-7d7852a23916,ACHMAD ZAEDI,male,-0.972389468,16.82445888,0.986194734,,
10,Partai Keadilan dan Persatuan Indonesia,3,TEUKU UMAR HASAN,,2389,ID,namsor_api_2.0.24,LATIN,d5cda12c-990e-4805-9ba7-bd059bfeed4e,TEUKU UMAR HASAN,male,-0.991511256,24.59008281,0.995755628,,
10,Partai Keadilan dan Persatuan Indonesia,4,DASRUL DIWA,,1575,ID,namsor_api_2.0.24,LATIN,278ab425-6413-44dd-a8b4-6ac61718468c,DASRUL DIWA,male,-0.857536971,10.94084313,0.928768485,,
11,Partai Penegak Demokrasi Indonesia,1,"H.T. KHAIRUL BASYAR, S.Sos",,18248,ID,namsor_api_2.0.24,LATIN,1693d515-b27c-4354-91dc-dbf16d10dce4,"H.T. KHAIRUL BASYAR, S.Sos",male,-0.977722567,18.04442664,0.988861283,,
11,Partai Penegak Demokrasi Indonesia,2,DWI NARNI WISNU ASTUTI,,607,ID,namsor_api_2.0.24,LATIN,8ad34443-7deb-41cb-9d88-9a19253f24c6,DWI NARNI WISNU ASTUTI,female,0.849661502,10.8373288,0.924830751,,
12,Partai Persatuan Nahdlatul Ummah Indonesia,1,Prof. DR. H. TEUNGKU MUHIBBUDIN,,14260,ID,namsor_api_2.0.24,LATIN,93ac27c3-755f-4b09-8fac-4f1c81d2c049,Prof. DR. H. TEUNGKU MUHIBBUDIN,male,-0.42538354,6.959727765,0.71269177,,
12,Partai Persatuan Nahdlatul Ummah Indonesia,2,H.I.M USMAN,,5315,ID,namsor_api_2.0.24,LATIN,f52c308a-a0da-43d2-8211-fe507a4f7d95,H.I.M USMAN,male,-0.728780456,9.071057508,0.864390228,,
12,Partai Persatuan Nahdlatul Ummah Indonesia,3,Hj. SALMIATI,,1590,ID,namsor_api_2.0.24,LATIN,15b7f449-483a-4a05-9f6f-9685f5620013,Hj. SALMIATI,female,0.740907854,9.409188305,0.870453927,,
12,Partai Persatuan Nahdlatul Ummah Indonesia,4,Drs. RUSLY A. NARBA,,781,ID,namsor_api_2.0.24,LATIN,8a892660-ea04-4cd5-a9fc-41be6ef6462b,Drs. RUSLY A. NARBA,male,-0.970869226,16.44782009,0.985434613,,
12,Partai Persatuan Nahdlatul Ummah Indonesia,5,M. HASAN AKHIR,,515,ID,namsor_api_2.0.24,LATIN,b2c1f7d8-4e6b-4766-8595-5fb95cc708b0,M. HASAN AKHIR,male,-0.754759957,10.02446408,0.877379978,,
13,Partai Amanat Nasional,1,"H. IMAM SYUJA, SE",,21163,ID,namsor_api_2.0.24,LATIN,c1771c5e-c5d1-43f9-a7ca-02dd7febd34f,"H. IMAM SYUJA, SE",male,-0.423451418,6.863156068,0.711725709,,
13,Partai Amanat Nasional,2,Ir. Drs. TEUKU SYAIFUL ACHMAD B.MU,,25273,ID,namsor_api_2.0.24,LATIN,24611a55-511a-4fe0-a33d-ff65967bb965,Ir. Drs. TEUKU SYAIFUL ACHMAD B.MU,male,-0.894338981,11.65345631,0.94716949,,
13,Partai Amanat Nasional,3,Drs. YUSRIZAL,,12009,ID,namsor_api_2.0.24,LATIN,ff1425af-0437-4877-921a-3751118ba02a,Drs. YUSRIZAL,male,-0.953971728,14.63000594,0.976985864,,
13,Partai Amanat Nasional,4,Hj. NOURHADISAH NYAK DIWAN S. Ag.,,6717,ID,namsor_api_2.0.24,LATIN,67787814-1670-40aa-af3b-287881d25be0,Hj. NOURHADISAH NYAK DIWAN S. Ag.,male,-0.069058239,1.816971709,0.53452912,,
13,Partai Amanat Nasional,5,Drs. ISKANDAR TEUKU,,4753,ID,namsor_api_2.0.24,LATIN,593e68a6-7341-401a-bde9-4d8ec62499d7,Drs. ISKANDAR TEUKU,male,-0.992680887,26.3119559,0.996340444,,
13,Partai Amanat Nasional,6,"PROF. DR. JAMALUDDIN AHMAD, SE",,6029,ID,namsor_api_2.0.24,LATIN,aff60b59-36f9-40de-a55c-1fb8683fd438,"PROF. DR. JAMALUDDIN AHMAD, SE",male,-0.99002648,22.30537294,0.99501324,,
13,Partai Amanat Nasional,7,ALl DJAUHARI,,5722,ID,namsor_api_2.0.24,LATIN,235fedbd-c113-4cf4-9386-79fd4e743e35,ALl DJAUHARI,male,-0.533309992,7.343506201,0.766654996,,
13,Partai Amanat Nasional,8,"ABU BAKAR, SH",,1337,ID,namsor_api_2.0.24,LATIN,5d3beb7e-fbb2-40f2-aef6-dad19b1fe37a,"ABU BAKAR, SH",male,-0.983490155,19.57643261,0.991745077,,
14,Partai Karya Peduli Bangsa,1,Dr. TGK. MUHAMMAD YAMIN AMIN,,4433,ID,namsor_api_2.0.24,LATIN,81fb8623-a04c-4159-9365-d973143967e9,Dr. TGK. MUHAMMAD YAMIN AMIN,female,0.019386229,1.211990425,0.509693114,,
14,Partai Karya Peduli Bangsa,2,"H. ISHAK HASAN, SE",,2045,ID,namsor_api_2.0.24,LATIN,94318e60-3386-469e-ada3-d34eeac12e3c,"H. ISHAK HASAN, SE",male,-0.982545639,19.37644976,0.99127282,,
14,Partai Karya Peduli Bangsa,3,Drs. H. RAZALI ABDULLAH,,1502,ID,namsor_api_2.0.24,LATIN,e3c05664-b53e-463c-9235-5fedc7158930,Drs. H. RAZALI ABDULLAH,male,-0.985029247,19.9905241,0.992514623,,
14,Partai Karya Peduli Bangsa,4,LISMAWATI,,759,ID,namsor_api_2.0.24,LATIN,f5c68eed-ad19-44ba-aa9b-6b6aa637e252,LISMAWATI,female,0.980321576,18.55756151,0.990160788,,
14,Partai Karya Peduli Bangsa,5,"Drs. H. RAMLY GANIEM, BSc",,350,ID,namsor_api_2.0.24,LATIN,da01a377-ce92-4a54-93ba-ca332a832a82,"Drs. H. RAMLY GANIEM, BSc",male,-0.921460416,12.62069779,0.960730208,,
14,Partai Karya Peduli Bangsa,6,TGK. A. K. YACOBI,,170,ID,namsor_api_2.0.24,LATIN,b7e43596-bed1-4028-9418-b4659043d536,TGK. A. K. YACOBI,male,-0.189694239,2.933521383,0.59484712,,
14,Partai Karya Peduli Bangsa,7,Drs. GHAZI HUSIEN JOESUF,,79,ID,namsor_api_2.0.24,LATIN,c86c6eb0-d987-4d84-8b23-8bac7a88df33,Drs. GHAZI HUSIEN JOESUF,male,-0.991608736,25.25038593,0.995804368,,
14,Partai Karya Peduli Bangsa,8,KURNIAWATI,,309,ID,namsor_api_2.0.24,LATIN,fd5bedbe-7deb-4aec-920e-8e6278819da6,KURNIAWATI,female,0.876116263,11.23829213,0.938058132,,
15,Partai Kebangkitan Bangsa,1,"TGK.H. RAZALI IRSYAD, BA",,7332,ID,namsor_api_2.0.24,LATIN,f62eaa00-5503-4300-a154-c487abdf86dd,"TGK.H. RAZALI IRSYAD, BA",male,-0.97333127,16.95928997,0.986665635,,
15,Partai Kebangkitan Bangsa,2,H. ALI HANAFIAH M,,4800,ID,namsor_api_2.0.24,LATIN,f332e3d9-7ff2-4c71-b1f6-99f46c79f9bd,H. ALI HANAFIAH M,male,-0.510360079,7.251291513,0.755180039,,
15,Partai Kebangkitan Bangsa,3,"M. YANI PUTERA, SE",,1487,ID,namsor_api_2.0.24,LATIN,e606eeaa-79e0-4722-bfa3-e0201406abd3,"M. YANI PUTERA, SE",male,-0.264964581,4.115010465,0.632482291,,
15,Partai Kebangkitan Bangsa,4,"YETTI AFRIDA, ST",,1106,ID,namsor_api_2.0.24,LATIN,588449af-bbd0-46bb-b49d-937ac231eda0,"YETTI AFRIDA, ST",female,0.805022491,10.39431659,0.902511246,,
16,Partai Keadiian Sejahtera,1,"M. NASIR JAMIL, S. Ag",,36436,ID,namsor_api_2.0.24,LATIN,d6819b6f-3d5e-426e-92f9-f118902babc4,"M. NASIR JAMIL, S. Ag",male,-0.981945352,19.0821142,0.990972676,,
16,Partai Keadiian Sejahtera,2,"Ir. NURMANSYAH, MBA",,5806,ID,namsor_api_2.0.24,LATIN,d2310153-7c30-4fea-a3ed-87020f31ec6c,"Ir. NURMANSYAH, MBA",male,-0.907215204,12.10542941,0.953607602,,
16,Partai Keadiian Sejahtera,3,"MULYANI, S. Ag",,3198,ID,namsor_api_2.0.24,LATIN,2e76fc51-0400-4111-9b58-3b7860d9e33a,"MULYANI, S. Ag",male,-0.193341686,2.974751706,0.596670843,,
16,Partai Keadiian Sejahtera,4,MUHAMMAD RIZAL,,2364,ID,namsor_api_2.0.24,LATIN,42888dac-3cb2-4968-8f16-0f70cf930617,MUHAMMAD RIZAL,male,-0.987799001,21.1559008,0.993899501,,
16,Partai Keadiian Sejahtera,5,"RATNA DWIKORA, SH",,903,ID,namsor_api_2.0.24,LATIN,342153a3-4ed4-4358-a77d-82a48c844836,"RATNA DWIKORA, SH",female,0.288345035,4.779942197,0.644172517,,
16,Partai Keadiian Sejahtera,6,SHALIHIN AHMAD,,742,ID,namsor_api_2.0.24,LATIN,4fb9de02-84c5-4019-beb7-dfdef28f07e0,SHALIHIN AHMAD,male,-0.909721442,12.22333408,0.954860721,,
16,Partai Keadiian Sejahtera,7,"ZULFIKAR NOER, ST",,575,ID,namsor_api_2.0.24,LATIN,9fe26990-3e8d-4fc9-bdf4-4058de1c4537,"ZULFIKAR NOER, ST",male,-0.748704495,9.708454456,0.874352247,,
17,Partai Bintang Reformasi,1,"ANHAR, SE",,23051,ID,namsor_api_2.0.24,LATIN,f2fdc761-986b-47ba-aa2a-1e7f3d1cab5b,"ANHAR, SE",male,-0.904062346,11.97447623,0.952031173,,
17,Partai Bintang Reformasi,2,BUSTARI MANSYUR,,10009,ID,namsor_api_2.0.24,LATIN,85182fe9-2e0c-48ac-9211-1b6b1ed29744,BUSTARI MANSYUR,male,-0.367983736,5.568344651,0.683991868,,
17,Partai Bintang Reformasi,3,"TJUT NI'MAH NIEKE MEUTIA, SH, MBA",,4858,ID,namsor_api_2.0.24,LATIN,3b43c6a5-57a2-4147-8f10-b044cd30001b,"TJUT NI'MAH NIEKE MEUTIA, SH, MBA",male,-0.009333523,0.498176263,0.504666762,,
18,Partai Demokrasi Indonesia Perjuangan,1,H. KARIMUN USMAN,,11839,ID,namsor_api_2.0.24,LATIN,d9ac484d-94be-4d58-b184-c47c8949a102,H. KARIMUN USMAN,male,-0.527317105,7.31859512,0.763658552,,
18,Partai Demokrasi Indonesia Perjuangan,2,Drs. H. RAMLI ARSYAD,,4269,ID,namsor_api_2.0.24,LATIN,8ece7824-473f-41ef-b73b-ee43b041d0ef,Drs. H. RAMLI ARSYAD,male,-0.979374145,18.34393327,0.989687073,,
18,Partai Demokrasi Indonesia Perjuangan,3,TU BULQAINI,,1293,ID,namsor_api_2.0.24,LATIN,556e3651-2599-4cf0-a2ce-ec0207d4c1a1,TU BULQAINI,male,-0.264148071,4.098055269,0.632074036,,
18,Partai Demokrasi Indonesia Perjuangan,4,"SAHMUR M. PILIANG, SH, M.HUM",,944,ID,namsor_api_2.0.24,LATIN,ab062601-958a-4526-a87d-b0e0404b4d2f,"SAHMUR M. PILIANG, SH, M.HUM",male,-0.718800504,8.859088139,0.859400252,,
18,Partai Demokrasi Indonesia Perjuangan,5,Dra. WIWIEK HASTUTI,,1334,ID,namsor_api_2.0.24,LATIN,9d068dd9-9a80-43a9-a51f-f3f9232b289f,Dra. WIWIEK HASTUTI,female,0.902302512,11.90821049,0.951151256,,
18,Partai Demokrasi Indonesia Perjuangan,6,H. FACHRI H. WALAD,,501,ID,namsor_api_2.0.24,LATIN,4ab67d99-3d83-4b79-bb5e-38e38792b206,H. FACHRI H. WALAD,male,-0.92361528,12.71201713,0.96180764,,
18,Partai Demokrasi Indonesia Perjuangan,7,"SRI HANDAYANI, SE",,611,ID,namsor_api_2.0.24,LATIN,e846eeb2-83e8-4dc9-b936-7b23f9c938de,"SRI HANDAYANI, SE",male,-0.015521217,1.018836506,0.507760608,,
19,Partai Damal Sejahtera,1,YOSEF ARI WIBOWO,,1193,ID,namsor_api_2.0.24,LATIN,742d5f7a-6bf4-46d7-bb66-6bda8d6a4656,YOSEF ARI WIBOWO,male,-0.991580742,25.01245377,0.995790371,,
19,Partai Damal Sejahtera,2,RONALD R. SIREGAR,,1360,ID,namsor_api_2.0.24,LATIN,57829304-18f0-44bb-adc0-cbeceb5ab5a2,RONALD R. SIREGAR,male,-0.992362034,26.08041282,0.996181017,,
20,Partai Golongan Karya,1,HJ. MARLIAH AMIN,,45122,ID,namsor_api_2.0.24,LATIN,563ff2dd-6e8b-407e-8f29-6516cff3aa0b,HJ. MARLIAH AMIN,female,0.882020894,11.35493154,0.941010447,,
20,Partai Golongan Karya,2,Drs. MARZUKI DAUD,,12860,ID,namsor_api_2.0.24,LATIN,b5cfa97a-f399-4aad-a0ee-2edfcbdd23d6,Drs. MARZUKI DAUD,male,-0.966931872,15.85293631,0.983465936,,
20,Partai Golongan Karya,3,"IR. HJ. DJUITA DJALALUDDIN, MP",,6549,ID,namsor_api_2.0.24,LATIN,866c4fec-dc4e-464b-98bd-0c1e33c63e27,"IR. HJ. DJUITA DJALALUDDIN, MP",male,-0.906162838,12.05978629,0.953081419,,
20,Partai Golongan Karya,4,"H. AMRAN ZAMZAMI, SE",,12064,ID,namsor_api_2.0.24,LATIN,6e1a0b77-3129-4116-95df-0276ddfbe240,"H. AMRAN ZAMZAMI, SE",male,-0.853239621,10.88303579,0.92661981,,
20,Partai Golongan Karya,5,HJ. AMNA YUSRA,,3603,ID,namsor_api_2.0.24,LATIN,38039a08-f668-49c3-9601-641cddaded27,HJ. AMNA YUSRA,female,0.956913246,14.83499049,0.978456623,,
20,Partai Golongan Karya,6,SABIRIN MOESA,,2111,ID,namsor_api_2.0.24,LATIN,e56bb79a-d5b9-4224-82e5-b040aeac6aa7,SABIRIN MOESA,female,0.018914335,1.192438581,0.509457167,,
20,Partai Golongan Karya,7,"H. TGK. SANUSI HANAFI, BA",,1476,ID,namsor_api_2.0.24,LATIN,655d0c44-aace-46f4-b672-b842f19d6585,"H. TGK. SANUSI HANAFI, BA",male,-0.745416772,9.571208117,0.872708386,,
20,Partai Golongan Karya,8,"H. ZAINUDDIN HAMID, BA",,4821,ID,namsor_api_2.0.24,LATIN,e7c83ea1-f63d-444f-87d5-d9c7c30f899b,"H. ZAINUDDIN HAMID, BA",male,-0.970180487,16.31487967,0.985090244,,
21,Partai Patriot Pancasila,1,"ABDUL WAHAB, SE, BSc, MM",,4001,ID,namsor_api_2.0.24,LATIN,b90beda9-8d98-4225-aac3-e63d0f26bafb,"ABDUL WAHAB, SE, BSc, MM",male,-0.992085618,25.91561264,0.996042809,,
21,Partai Patriot Pancasila,2,CUT ROOSANA UMRI,,1095,ID,namsor_api_2.0.24,LATIN,77d65240-2fcb-48e0-8c55-3ac704627dd3,CUT ROOSANA UMRI,female,0.522574152,7.299309868,0.761287076,,
21,Partai Patriot Pancasila,3,T. JULIANSYAH DARWIN,,727,ID,namsor_api_2.0.24,LATIN,829aa7c2-dd68-4eaa-842d-3b2a3e9a6f24,T. JULIANSYAH DARWIN,male,-0.243779032,3.745698132,0.621889516,,
22,Partai Sarikat Indonesia,1,"Letjen, TNI (Purn) TAMLICHA  ALI",,5674,ID,namsor_api_2.0.24,LATIN,b71739a0-0f54-46e3-91f6-04f327981acf,"Letjen, TNI (Purn) TAMLICHA  ALI",male,-0.606360633,7.710812766,0.803180316,,
22,Partai Sarikat Indonesia,2,Ir. YUSRI IBRAHIM,,1226,ID,namsor_api_2.0.24,LATIN,a47cb075-1d89-4737-8038-3973de5bba54,Ir. YUSRI IBRAHIM,male,-0.942575719,14.08881967,0.97128786,,
22,Partai Sarikat Indonesia,3,Dr. RIZKA HAKIKA,,535,ID,namsor_api_2.0.24,LATIN,b515653b-dc49-4da5-a964-07322157f37a,Dr. RIZKA HAKIKA,female,0.110942572,2.205796805,0.555471286,,
22,Partai Sarikat Indonesia,4,"ALIA FANNINA, SE.M.Si",,208,ID,namsor_api_2.0.24,LATIN,22dd6e39-fe26-4bb1-8782-2d2f54c839e2,"ALIA FANNINA, SE.M.Si",female,0.429277714,6.980262132,0.714638857,,
22,Partai Sarikat Indonesia,5,Drs.MOH. NUR ZEIN,,184,ID,namsor_api_2.0.24,LATIN,88991cab-4ffc-4c13-b8a7-5eed38508ed4,Drs.MOH. NUR ZEIN,male,-0.900468502,11.84352775,0.950234251,,
23,Partai Persatuan Daerah,1,KARIM SYARIEF,,1180,ID,namsor_api_2.0.24,LATIN,941f04cc-2a07-4354-a332-81abb6dc0c19,KARIM SYARIEF,male,-0.724987123,8.98511579,0.862493561,,
23,Partai Persatuan Daerah,2,YUSBI YUSUF,,1560,ID,namsor_api_2.0.24,LATIN,cb0718a4-65d6-482f-bda3-8ba3c9b8be56,YUSBI YUSUF,female,0.009291287,0.486221031,0.504645643,,
23,Partai Persatuan Daerah,3,ABDUL THALIB,,394,ID,namsor_api_2.0.24,LATIN,62ce61a5-20d8-4173-8f46-88936ac33d53,ABDUL THALIB,male,-0.986342289,20.56615612,0.993171144,,
23,Partai Persatuan Daerah,4,"BUSTAMAN THAHIR, B.Sc",,321,ID,namsor_api_2.0.24,LATIN,9f829f76-fdc4-4665-a96d-57f76643612c,"BUSTAMAN THAHIR, B.Sc",male,-0.970836718,16.44113174,0.985418359,,
23,Partai Persatuan Daerah,5,"USMAN, S.Ag",,169,ID,namsor_api_2.0.24,LATIN,544408ee-f7f0-40a8-b47f-583115fbd33a,"USMAN, S.Ag",male,-0.990723687,22.99988505,0.995361844,,
23,Partai Persatuan Daerah,6,RIDWAN AMRAN,,64,ID,namsor_api_2.0.24,LATIN,b3c80e08-b54f-4e21-8416-18a3090e7a35,RIDWAN AMRAN,male,-0.950181155,14.41583233,0.975090577,,
23,Partai Persatuan Daerah,7,MISNAR,,441,ID,namsor_api_2.0.24,LATIN,74d2dcb0-3258-430e-b1b2-336344f3570f,MISNAR,male,-0.009173618,0.453090406,0.504586809,,
23,Partai Persatuan Daerah,8,ABDULLAH TGK. JOHAN,,225,ID,namsor_api_2.0.24,LATIN,b51d97ff-ddd3-4ccc-a1f2-b93ebf8d0575,ABDULLAH TGK. JOHAN,male,-0.963957789,15.56125289,0.981978895,,
